id,measurement_seq_start_time,availability,mut,mdt,mtbf,measurement_start_time,measurement_end_time,fault_profile,cluster_type,measurement_count,load_duration,locust_user_count,locust_spawn_rate,prev_git_commit_short,comment
671d615f-b3d7-4437-9a7f-1d12c0e6b931,04-07-2021_13-42-17.181397,0.9500000000000001,190.0,15.0,205.0,04-07-2021_15-21-58.202129,04-07-2021_15-32-06.517798,network-delay,eks,10,600,1,1,ed0241f,First proper network delay test
f163956d-5158-4c91-9b14-16da518f8ff9,04-08-2021_15-33-24.593977,1.0,240.0,nan,nan,04-08-2021_15-33-59.526373,04-08-2021_15-44-31.354562,network-partition,eks,10,600,1,1,d58a12b,First proper network partition test
f163956d-5158-4c91-9b14-16da518f8ff9,04-08-2021_15-33-24.593977,1.0,600.0,nan,nan,04-08-2021_15-45-32.607272,04-08-2021_15-55-41.046618,network-partition,eks,10,600,1,1,d58a12b,First proper network partition test
f163956d-5158-4c91-9b14-16da518f8ff9,04-08-2021_15-33-24.593977,1.0,600.0,nan,nan,04-08-2021_15-56-45.866115,04-08-2021_16-06-52.706197,network-partition,eks,10,600,1,1,d58a12b,First proper network partition test
f163956d-5158-4c91-9b14-16da518f8ff9,04-08-2021_15-33-24.593977,1.0,600.0,nan,nan,04-08-2021_16-07-48.557743,04-08-2021_16-17-55.528057,network-partition,eks,10,600,1,1,d58a12b,First proper network partition test
f163956d-5158-4c91-9b14-16da518f8ff9,04-08-2021_15-33-24.593977,1.0,600.0,nan,nan,04-08-2021_16-18-46.218827,04-08-2021_16-28-53.969823,network-partition,eks,10,600,1,1,d58a12b,First proper network partition test
f163956d-5158-4c91-9b14-16da518f8ff9,04-08-2021_15-33-24.593977,1.0,600.0,nan,nan,04-08-2021_16-29-58.790168,04-08-2021_16-40-06.544644,network-partition,eks,10,600,1,1,d58a12b,First proper network partition test
f163956d-5158-4c91-9b14-16da518f8ff9,04-08-2021_15-33-24.593977,1.0,600.0,nan,nan,04-08-2021_16-41-02.356784,04-08-2021_16-51-10.519286,network-partition,eks,10,600,1,1,d58a12b,First proper network partition test
f163956d-5158-4c91-9b14-16da518f8ff9,04-08-2021_15-33-24.593977,1.0,600.0,nan,nan,04-08-2021_16-52-14.213924,04-08-2021_17-02-22.275829,network-partition,eks,10,600,1,1,d58a12b,First proper network partition test
f163956d-5158-4c91-9b14-16da518f8ff9,04-08-2021_15-33-24.593977,1.0,600.0,nan,nan,04-08-2021_17-03-15.836472,04-08-2021_17-13-23.380827,network-partition,eks,10,600,1,1,d58a12b,First proper network partition test
f163956d-5158-4c91-9b14-16da518f8ff9,04-08-2021_15-33-24.593977,1.0,600.0,nan,nan,04-08-2021_17-14-29.037206,04-08-2021_17-24-36.850622,network-partition,eks,10,600,1,1,d58a12b,First proper network partition test
e99aeb09-3f6c-41c6-bcfd-8bb203e5fbc1,04-09-2021_19-31-57.405869,0.17500000000000007,105.0,247.5,352.5,04-09-2021_19-32-04.788940,04-09-2021_19-42-14.372113,pod-failure,eks,10,600,1,1,d58a12b,First pod failure test
e99aeb09-3f6c-41c6-bcfd-8bb203e5fbc1,04-09-2021_19-31-57.405869,0.07692307692307691,45.0,277.5,322.5,04-09-2021_19-42-37.003417,04-09-2021_19-52-44.645465,pod-failure,eks,10,600,1,1,d58a12b,First pod failure test
e99aeb09-3f6c-41c6-bcfd-8bb203e5fbc1,04-09-2021_19-31-57.405869,0.28205128205128194,82.5,140.0,222.5,04-09-2021_19-52-51.404823,04-09-2021_20-02-59.358293,pod-failure,eks,10,600,1,1,d58a12b,First pod failure test
e99aeb09-3f6c-41c6-bcfd-8bb203e5fbc1,04-09-2021_19-31-57.405869,0.0,nan,600.0,nan,04-09-2021_20-03-15.025773,04-09-2021_20-13-24.001625,pod-failure,eks,10,600,1,1,d58a12b,First pod failure test
e99aeb09-3f6c-41c6-bcfd-8bb203e5fbc1,04-09-2021_19-31-57.405869,0.15000000000000002,90.0,255.0,345.0,04-09-2021_20-13-31.272855,04-09-2021_20-23-38.882030,pod-failure,eks,10,600,1,1,d58a12b,First pod failure test
e99aeb09-3f6c-41c6-bcfd-8bb203e5fbc1,04-09-2021_19-31-57.405869,0.29999999999999993,90.0,140.0,230.0,04-09-2021_20-23-57.249148,04-09-2021_20-34-05.700340,pod-failure,eks,10,600,1,1,d58a12b,First pod failure test
e99aeb09-3f6c-41c6-bcfd-8bb203e5fbc1,04-09-2021_19-31-57.405869,0.4000000000000001,80.0,90.0,170.0,04-09-2021_20-34-12.986219,04-09-2021_20-44-20.626711,pod-failure,eks,10,600,1,1,d58a12b,First pod failure test
e99aeb09-3f6c-41c6-bcfd-8bb203e5fbc1,04-09-2021_19-31-57.405869,0.0,nan,600.0,nan,04-09-2021_20-44-28.308363,04-09-2021_20-54-36.569304,pod-failure,eks,10,600,1,1,d58a12b,First pod failure test
e99aeb09-3f6c-41c6-bcfd-8bb203e5fbc1,04-09-2021_19-31-57.405869,0.15000000000000002,90.0,255.0,345.0,04-09-2021_20-54-44.042280,04-09-2021_21-04-53.634359,pod-failure,eks,10,600,1,1,d58a12b,First pod failure test
e99aeb09-3f6c-41c6-bcfd-8bb203e5fbc1,04-09-2021_19-31-57.405869,0.6000000000000001,120.0,120.0,240.0,04-09-2021_21-05-13.598984,04-09-2021_21-15-23.496868,pod-failure,eks,10,600,1,1,d58a12b,First pod failure test
a1bbcd60-c96b-421b-ac9a-0d7a0c30db6c,04-09-2021_22-02-12.724972,0.49999999999999994,100.0,100.0,200.0,04-09-2021_22-02-26.033346,04-09-2021_22-12-34.231237,pod-kill,eks,10,600,1,1,108e022,First pod kill test
a1bbcd60-c96b-421b-ac9a-0d7a0c30db6c,04-09-2021_22-02-12.724972,0.7500000000000001,225.0,150.0,375.0,04-09-2021_22-13-27.982707,04-09-2021_22-23-35.734558,pod-kill,eks,10,600,1,1,108e022,First pod kill test
a1bbcd60-c96b-421b-ac9a-0d7a0c30db6c,04-09-2021_22-02-12.724972,0.6249999999999999,93.75,52.5,150.0,04-09-2021_22-23-49.658610,04-09-2021_22-33-58.540733,pod-kill,eks,10,600,1,1,108e022,First pod kill test
a1bbcd60-c96b-421b-ac9a-0d7a0c30db6c,04-09-2021_22-02-12.724972,0.7000000000000001,210.0,90.0,300.0,04-09-2021_22-35-10.997410,04-09-2021_22-45-18.480975,pod-kill,eks,10,600,1,1,108e022,First pod kill test
a1bbcd60-c96b-421b-ac9a-0d7a0c30db6c,04-09-2021_22-02-12.724972,0.3500000000000001,70.0,97.5,167.5,04-09-2021_22-45-28.516096,04-09-2021_22-55-36.060248,pod-kill,eks,10,600,1,1,108e022,First pod kill test
a1bbcd60-c96b-421b-ac9a-0d7a0c30db6c,04-09-2021_22-02-12.724972,0.7000000000000001,140.0,60.0,200.0,04-09-2021_22-55-42.829271,04-09-2021_23-05-50.217344,pod-kill,eks,10,600,1,1,108e022,First pod kill test
a1bbcd60-c96b-421b-ac9a-0d7a0c30db6c,04-09-2021_22-02-12.724972,0.6060606060606062,75.0,70.0,145.0,04-09-2021_23-06-56.315026,04-09-2021_23-17-03.413945,pod-kill,eks,10,600,1,1,108e022,First pod kill test
a1bbcd60-c96b-421b-ac9a-0d7a0c30db6c,04-09-2021_22-02-12.724972,0.0,nan,600.0,nan,04-09-2021_23-17-09.116784,04-09-2021_23-27-15.977422,pod-kill,eks,10,600,1,1,108e022,First pod kill test
a1bbcd60-c96b-421b-ac9a-0d7a0c30db6c,04-09-2021_22-02-12.724972,0.3500000000000001,70.0,97.5,167.5,04-09-2021_23-27-24.648485,04-09-2021_23-37-30.692810,pod-kill,eks,10,600,1,1,108e022,First pod kill test
a1bbcd60-c96b-421b-ac9a-0d7a0c30db6c,04-09-2021_22-02-12.724972,0.15,45.0,510.0,555.0,04-09-2021_23-37-43.102085,04-09-2021_23-47-49.484407,pod-kill,eks,10,600,1,1,108e022,First pod kill test
66151945-dd5d-498d-8cf1-7889b2f5045b,04-10-2021_13-46-58.258675,0.8999999999999998,135.0,15.0,150.0,04-10-2021_13-47-04.497856,04-10-2021_13-57-11.388487,stress-cpu,eks,10,600,1,1,999a2a5,First stress CPU test
66151945-dd5d-498d-8cf1-7889b2f5045b,04-10-2021_13-46-58.258675,0.9249999999999998,138.75,15.0,153.75,04-10-2021_13-58-13.328145,04-10-2021_14-08-24.810041,stress-cpu,eks,10,600,1,1,999a2a5,First stress CPU test
